,party,votes,eligible_count,blank,invalid,total_valid,total_casted,time_stamp,address,names,refs,links,year
6,Dansk Folkeparti,217,1573,12,7,1395,1414,2011-09-16 11:43:22,Krogsbølle Skole - Gymnastiksal                    Krogsbølle Bygade 54                    5450 Otterup,Krogsbølle,F605480005.htm,https://www.kmdvalg.dk/fv/2011/F605480005.htm,2011
7,"Venstre, Danmarks Liberale Parti",419,1573,12,7,1395,1414,2011-09-16 11:43:22,Krogsbølle Skole - Gymnastiksal                    Krogsbølle Bygade 54                    5450 Otterup,Krogsbølle,F605480005.htm,https://www.kmdvalg.dk/fv/2011/F605480005.htm,2011
8,Enhedslisten - De Rød-Grønne,51,1573,12,7,1395,1414,2011-09-16 11:43:22,Krogsbølle Skole - Gymnastiksal                    Krogsbølle Bygade 54                    5450 Otterup,Krogsbølle,F605480005.htm,https://www.kmdvalg.dk/fv/2011/F605480005.htm,2011
9,Michael Ellegaard,0,1573,12,7,1395,1414,2011-09-16 11:43:22,Krogsbølle Skole - Gymnastiksal                    Krogsbølle Bygade 54                    5450 Otterup,Krogsbølle,F605480005.htm,https://www.kmdvalg.dk/fv/2011/F605480005.htm,2011
10,Lars Grønbæk Larsen,0,1573,12,7,1395,1414,2011-09-16 11:43:22,Krogsbølle Skole - Gymnastiksal                    Krogsbølle Bygade 54                    5450 Otterup,Krogsbølle,F605480005.htm,https://www.kmdvalg.dk/fv/2011/F605480005.htm,2011
0,Socialdemokratiet,1030,3858,20,19,3354,3393,2011-09-16 10:42:26,Nordvestskolen - Gymnastiksal                    Horsebækvej 25                    5450 Otterup,Otterup,F605480006.htm,https://www.kmdvalg.dk/fv/2011/F605480006.htm,2011
1,Radikale Venstre,174,3858,20,19,3354,3393,2011-09-16 10:42:26,Nordvestskolen - Gymnastiksal                    Horsebækvej 25                    5450 Otterup,Otterup,F605480006.htm,https://www.kmdvalg.dk/fv/2011/F605480006.htm,2011
2,Det Konservative Folkeparti,118,3858,20,19,3354,3393,2011-09-16 10:42:26,Nordvestskolen - Gymnastiksal                    Horsebækvej 25                    5450 Otterup,Otterup,F605480006.htm,https://www.kmdvalg.dk/fv/2011/F605480006.htm,2011
3,SF - Socialistisk Folkeparti,363,3858,20,19,3354,3393,2011-09-16 10:42:26,Nordvestskolen - Gymnastiksal                    Horsebækvej 25                    5450 Otterup,Otterup,F605480006.htm,https://www.kmdvalg.dk/fv/2011/F605480006.htm,2011
4,Liberal Alliance,99,3858,20,19,3354,3393,2011-09-16 10:42:26,Nordvestskolen - Gymnastiksal                    Horsebækvej 25                    5450 Otterup,Otterup,F605480006.htm,https://www.kmdvalg.dk/fv/2011/F605480006.htm,2011
5,Kristendemokraterne,7,3858,20,19,3354,3393,2011-09-16 10:42:26,Nordvestskolen - Gymnastiksal                    Horsebækvej 25                    5450 Otterup,Otterup,F605480006.htm,https://www.kmdvalg.dk/fv/2011/F605480006.htm,2011
6,Dansk Folkeparti,481,3858,20,19,3354,3393,2011-09-16 10:42:26,Nordvestskolen - Gymnastiksal                    Horsebækvej 25                    5450 Otterup,Otterup,F605480006.htm,https://www.kmdvalg.dk/fv/2011/F605480006.htm,2011
7,"Venstre, Danmarks Liberale Parti",986,3858,20,19,3354,3393,2011-09-16 10:42:26,Nordvestskolen - Gymnastiksal                    Horsebækvej 25                    5450 Otterup,Otterup,F605480006.htm,https://www.kmdvalg.dk/fv/2011/F605480006.htm,2011
8,Enhedslisten - De Rød-Grønne,95,3858,20,19,3354,3393,2011-09-16 10:42:26,Nordvestskolen - Gymnastiksal                    Horsebækvej 25                    5450 Otterup,Otterup,F605480006.htm,https://www.kmdvalg.dk/fv/2011/F605480006.htm,2011
9,Michael Ellegaard,1,3858,20,19,3354,3393,2011-09-16 10:42:26,Nordvestskolen - Gymnastiksal                    Horsebækvej 25                    5450 Otterup,Otterup,F605480006.htm,https://www.kmdvalg.dk/fv/2011/F605480006.htm,2011
10,Lars Grønbæk Larsen,0,3858,20,19,3354,3393,2011-09-16 10:42:26,Nordvestskolen - Gymnastiksal                    Horsebækvej 25                    5450 Otterup,Otterup,F605480006.htm,https://www.kmdvalg.dk/fv/2011/F605480006.htm,2011
0,Socialdemokratiet,195,992,8,3,873,884,2011-09-16 11:35:36,Løkkemarkskolen - Musiklokale                    Bogensevej 16                    5450 Otterup,Løkkemark,F605480007.htm,https://www.kmdvalg.dk/fv/2011/F605480007.htm,2011
1,Radikale Venstre,37,992,8,3,873,884,2011-09-16 11:35:36,Løkkemarkskolen - Musiklokale                    Bogensevej 16                    5450 Otterup,Løkkemark,F605480007.htm,https://www.kmdvalg.dk/fv/2011/F605480007.htm,2011
2,Det Konservative Folkeparti,34,992,8,3,873,884,2011-09-16 11:35:36,Løkkemarkskolen - Musiklokale                    Bogensevej 16                    5450 Otterup,Løkkemark,F605480007.htm,https://www.kmdvalg.dk/fv/2011/F605480007.htm,2011
3,SF - Socialistisk Folkeparti,89,992,8,3,873,884,2011-09-16 11:35:36,Løkkemarkskolen - Musiklokale                    Bogensevej 16                    5450 Otterup,Løkkemark,F605480007.htm,https://www.kmdvalg.dk/fv/2011/F605480007.htm,2011
4,Liberal Alliance,32,992,8,3,873,884,2011-09-16 11:35:36,Løkkemarkskolen - Musiklokale                    Bogensevej 16                    5450 Otterup,Løkkemark,F605480007.htm,https://www.kmdvalg.dk/fv/2011/F605480007.htm,2011
5,Kristendemokraterne,5,992,8,3,873,884,2011-09-16 11:35:36,Løkkemarkskolen - Musiklokale                    Bogensevej 16                    5450 Otterup,Løkkemark,F605480007.htm,https://www.kmdvalg.dk/fv/2011/F605480007.htm,2011
6,Dansk Folkeparti,142,992,8,3,873,884,2011-09-16 11:35:36,Løkkemarkskolen - Musiklokale                    Bogensevej 16                    5450 Otterup,Løkkemark,F605480007.htm,https://www.kmdvalg.dk/fv/2011/F605480007.htm,2011
7,"Venstre, Danmarks Liberale Parti",303,992,8,3,873,884,2011-09-16 11:35:36,Løkkemarkskolen - Musiklokale                    Bogensevej 16                    5450 Otterup,Løkkemark,F605480007.htm,https://www.kmdvalg.dk/fv/2011/F605480007.htm,2011
8,Enhedslisten - De Rød-Grønne,34,992,8,3,873,884,2011-09-16 11:35:36,Løkkemarkskolen - Musiklokale                    Bogensevej 16                    5450 Otterup,Løkkemark,F605480007.htm,https://www.kmdvalg.dk/fv/2011/F605480007.htm,2011
9,Michael Ellegaard,2,992,8,3,873,884,2011-09-16 11:35:36,Løkkemarkskolen - Musiklokale                    Bogensevej 16                    5450 Otterup,Løkkemark,F605480007.htm,https://www.kmdvalg.dk/fv/2011/F605480007.htm,2011
10,Lars Grønbæk Larsen,0,992,8,3,873,884,2011-09-16 11:35:36,Løkkemarkskolen - Musiklokale                    Bogensevej 16                    5450 Otterup,Løkkemark,F605480007.htm,https://www.kmdvalg.dk/fv/2011/F605480007.htm,2011
0,Socialdemokratiet,202,940,10,1,849,860,2011-09-16 11:40:42,Skovløkkeskolen - Klasselokale                    Skovgyden 60                    5450 Otterup,Skovløkke,F605480008.htm,https://www.kmdvalg.dk/fv/2011/F605480008.htm,2011
1,Radikale Venstre,59,940,10,1,849,860,2011-09-16 11:40:42,Skovløkkeskolen - Klasselokale                    Skovgyden 60                    5450 Otterup,Skovløkke,F605480008.htm,https://www.kmdvalg.dk/fv/2011/F605480008.htm,2011
2,Det Konservative Folkeparti,25,940,10,1,849,860,2011-09-16 11:40:42,Skovløkkeskolen - Klasselokale                    Skovgyden 60                    5450 Otterup,Skovløkke,F605480008.htm,https://www.kmdvalg.dk/fv/2011/F605480008.htm,2011
3,SF - Socialistisk Folkeparti,119,940,10,1,849,860,2011-09-16 11:40:42,Skovløkkeskolen - Klasselokale                    Skovgyden 60                    5450 Otterup,Skovløkke,F605480008.htm,https://www.kmdvalg.dk/fv/2011/F605480008.htm,2011
4,Liberal Alliance,27,940,10,1,849,860,2011-09-16 11:40:42,Skovløkkeskolen - Klasselokale                    Skovgyden 60                    5450 Otterup,Skovløkke,F605480008.htm,https://www.kmdvalg.dk/fv/2011/F605480008.htm,2011
5,Kristendemokraterne,4,940,10,1,849,860,2011-09-16 11:40:42,Skovløkkeskolen - Klasselokale                    Skovgyden 60                    5450 Otterup,Skovløkke,F605480008.htm,https://www.kmdvalg.dk/fv/2011/F605480008.htm,2011
6,Dansk Folkeparti,125,940,10,1,849,860,2011-09-16 11:40:42,Skovløkkeskolen - Klasselokale                    Skovgyden 60                    5450 Otterup,Skovløkke,F605480008.htm,https://www.kmdvalg.dk/fv/2011/F605480008.htm,2011
7,"Venstre, Danmarks Liberale Parti",239,940,10,1,849,860,2011-09-16 11:40:42,Skovløkkeskolen - Klasselokale                    Skovgyden 60                    5450 Otterup,Skovløkke,F605480008.htm,https://www.kmdvalg.dk/fv/2011/F605480008.htm,2011
8,Enhedslisten - De Rød-Grønne,49,940,10,1,849,860,2011-09-16 11:40:42,Skovløkkeskolen - Klasselokale                    Skovgyden 60                    5450 Otterup,Skovløkke,F605480008.htm,https://www.kmdvalg.dk/fv/2011/F605480008.htm,2011
9,Michael Ellegaard,0,940,10,1,849,860,2011-09-16 11:40:42,Skovløkkeskolen - Klasselokale                    Skovgyden 60                    5450 Otterup,Skovløkke,F605480008.htm,https://www.kmdvalg.dk/fv/2011/F605480008.htm,2011
10,Lars Grønbæk Larsen,0,940,10,1,849,860,2011-09-16 11:40:42,Skovløkkeskolen - Klasselokale                    Skovgyden 60                    5450 Otterup,Skovløkke,F605480008.htm,https://www.kmdvalg.dk/fv/2011/F605480008.htm,2011
0,Socialdemokratiet,275,1115,7,3,1007,1017,2011-09-16 12:28:00,Veflinge Skole - Musiklokale                    Vedel Simonsensvej 31                    5474 Veflinge,Veflinge,F605480009.htm,https://www.kmdvalg.dk/fv/2011/F605480009.htm,2011
1,Radikale Venstre,44,1115,7,3,1007,1017,2011-09-16 12:28:00,Veflinge Skole - Musiklokale                    Vedel Simonsensvej 31                    5474 Veflinge,Veflinge,F605480009.htm,https://www.kmdvalg.dk/fv/2011/F605480009.htm,2011
2,Det Konservative Folkeparti,57,1115,7,3,1007,1017,2011-09-16 12:28:00,Veflinge Skole - Musiklokale                    Vedel Simonsensvej 31                    5474 Veflinge,Veflinge,F605480009.htm,https://www.kmdvalg.dk/fv/2011/F605480009.htm,2011
3,SF - Socialistisk Folkeparti,117,1115,7,3,1007,1017,2011-09-16 12:28:00,Veflinge Skole - Musiklokale                    Vedel Simonsensvej 31                    5474 Veflinge,Veflinge,F605480009.htm,https://www.kmdvalg.dk/fv/2011/F605480009.htm,2011
4,Liberal Alliance,49,1115,7,3,1007,1017,2011-09-16 12:28:00,Veflinge Skole - Musiklokale                    Vedel Simonsensvej 31                    5474 Veflinge,Veflinge,F605480009.htm,https://www.kmdvalg.dk/fv/2011/F605480009.htm,2011
5,Kristendemokraterne,3,1115,7,3,1007,1017,2011-09-16 12:28:00,Veflinge Skole - Musiklokale                    Vedel Simonsensvej 31                    5474 Veflinge,Veflinge,F605480009.htm,https://www.kmdvalg.dk/fv/2011/F605480009.htm,2011
6,Dansk Folkeparti,175,1115,7,3,1007,1017,2011-09-16 12:28:00,Veflinge Skole - Musiklokale                    Vedel Simonsensvej 31                    5474 Veflinge,Veflinge,F605480009.htm,https://www.kmdvalg.dk/fv/2011/F605480009.htm,2011
7,"Venstre, Danmarks Liberale Parti",250,1115,7,3,1007,1017,2011-09-16 12:28:00,Veflinge Skole - Musiklokale                    Vedel Simonsensvej 31                    5474 Veflinge,Veflinge,F605480009.htm,https://www.kmdvalg.dk/fv/2011/F605480009.htm,2011
8,Enhedslisten - De Rød-Grønne,37,1115,7,3,1007,1017,2011-09-16 12:28:00,Veflinge Skole - Musiklokale                    Vedel Simonsensvej 31                    5474 Veflinge,Veflinge,F605480009.htm,https://www.kmdvalg.dk/fv/2011/F605480009.htm,2011
9,Michael Ellegaard,0,1115,7,3,1007,1017,2011-09-16 12:28:00,Veflinge Skole - Musiklokale                    Vedel Simonsensvej 31                    5474 Veflinge,Veflinge,F605480009.htm,https://www.kmdvalg.dk/fv/2011/F605480009.htm,2011
10,Lars Grønbæk Larsen,0,1115,7,3,1007,1017,2011-09-16 12:28:00,Veflinge Skole - Musiklokale                    Vedel Simonsensvej 31                    5474 Veflinge,Veflinge,F605480009.htm,https://www.kmdvalg.dk/fv/2011/F605480009.htm,2011
0,Socialdemokratiet,207,1018,6,9,892,907,2011-09-16 11:50:54,Hårslev Skole - Musiklokale                    Vejruphuse 2                    5471 Søndersø,Hårslev,F605480010.htm,https://www.kmdvalg.dk/fv/2011/F605480010.htm,2011
1,Radikale Venstre,42,1018,6,9,892,907,2011-09-16 11:50:54,Hårslev Skole - Musiklokale                    Vejruphuse 2                    5471 Søndersø,Hårslev,F605480010.htm,https://www.kmdvalg.dk/fv/2011/F605480010.htm,2011
2,Det Konservative Folkeparti,40,1018,6,9,892,907,2011-09-16 11:50:54,Hårslev Skole - Musiklokale                    Vejruphuse 2                    5471 Søndersø,Hårslev,F605480010.htm,https://www.kmdvalg.dk/fv/2011/F605480010.htm,2011
3,SF - Socialistisk Folkeparti,99,1018,6,9,892,907,2011-09-16 11:50:54,Hårslev Skole - Musiklokale                    Vejruphuse 2                    5471 Søndersø,Hårslev,F605480010.htm,https://www.kmdvalg.dk/fv/2011/F605480010.htm,2011
4,Liberal Alliance,46,1018,6,9,892,907,2011-09-16 11:50:54,Hårslev Skole - Musiklokale                    Vejruphuse 2                    5471 Søndersø,Hårslev,F605480010.htm,https://www.kmdvalg.dk/fv/2011/F605480010.htm,2011
5,Kristendemokraterne,6,1018,6,9,892,907,2011-09-16 11:50:54,Hårslev Skole - Musiklokale                    Vejruphuse 2                    5471 Søndersø,Hårslev,F605480010.htm,https://www.kmdvalg.dk/fv/2011/F605480010.htm,2011
6,Dansk Folkeparti,143,1018,6,9,892,907,2011-09-16 11:50:54,Hårslev Skole - Musiklokale                    Vejruphuse 2                    5471 Søndersø,Hårslev,F605480010.htm,https://www.kmdvalg.dk/fv/2011/F605480010.htm,2011
7,"Venstre, Danmarks Liberale Parti",262,1018,6,9,892,907,2011-09-16 11:50:54,Hårslev Skole - Musiklokale                    Vejruphuse 2                    5471 Søndersø,Hårslev,F605480010.htm,https://www.kmdvalg.dk/fv/2011/F605480010.htm,2011
8,Enhedslisten - De Rød-Grønne,47,1018,6,9,892,907,2011-09-16 11:50:54,Hårslev Skole - Musiklokale                    Vejruphuse 2                    5471 Søndersø,Hårslev,F605480010.htm,https://www.kmdvalg.dk/fv/2011/F605480010.htm,2011
9,Michael Ellegaard,0,1018,6,9,892,907,2011-09-16 11:50:54,Hårslev Skole - Musiklokale                    Vejruphuse 2                    5471 Søndersø,Hårslev,F605480010.htm,https://www.kmdvalg.dk/fv/2011/F605480010.htm,2011
10,Lars Grønbæk Larsen,0,1018,6,9,892,907,2011-09-16 11:50:54,Hårslev Skole - Musiklokale                    Vejruphuse 2                    5471 Søndersø,Hårslev,F605480010.htm,https://www.kmdvalg.dk/fv/2011/F605480010.htm,2011
0,Socialdemokratiet,371,1968,11,5,1787,1803,2011-09-16 12:36:26,Havrehedskolen - Gymnastiksal                    Rugårdsvej 729                    5462 Morud,Morud,F605480011.htm,https://www.kmdvalg.dk/fv/2011/F605480011.htm,2011
1,Radikale Venstre,162,1968,11,5,1787,1803,2011-09-16 12:36:26,Havrehedskolen - Gymnastiksal                    Rugårdsvej 729                    5462 Morud,Morud,F605480011.htm,https://www.kmdvalg.dk/fv/2011/F605480011.htm,2011
2,Det Konservative Folkeparti,97,1968,11,5,1787,1803,2011-09-16 12:36:26,Havrehedskolen - Gymnastiksal                    Rugårdsvej 729                    5462 Morud,Morud,F605480011.htm,https://www.kmdvalg.dk/fv/2011/F605480011.htm,2011
3,SF - Socialistisk Folkeparti,147,1968,11,5,1787,1803,2011-09-16 12:36:26,Havrehedskolen - Gymnastiksal                    Rugårdsvej 729                    5462 Morud,Morud,F605480011.htm,https://www.kmdvalg.dk/fv/2011/F605480011.htm,2011
4,Liberal Alliance,129,1968,11,5,1787,1803,2011-09-16 12:36:26,Havrehedskolen - Gymnastiksal                    Rugårdsvej 729                    5462 Morud,Morud,F605480011.htm,https://www.kmdvalg.dk/fv/2011/F605480011.htm,2011
5,Kristendemokraterne,7,1968,11,5,1787,1803,2011-09-16 12:36:26,Havrehedskolen - Gymnastiksal                    Rugårdsvej 729                    5462 Morud,Morud,F605480011.htm,https://www.kmdvalg.dk/fv/2011/F605480011.htm,2011
6,Dansk Folkeparti,214,1968,11,5,1787,1803,2011-09-16 12:36:26,Havrehedskolen - Gymnastiksal                    Rugårdsvej 729                    5462 Morud,Morud,F605480011.htm,https://www.kmdvalg.dk/fv/2011/F605480011.htm,2011
7,"Venstre, Danmarks Liberale Parti",587,1968,11,5,1787,1803,2011-09-16 12:36:26,Havrehedskolen - Gymnastiksal                    Rugårdsvej 729                    5462 Morud,Morud,F605480011.htm,https://www.kmdvalg.dk/fv/2011/F605480011.htm,2011
8,Enhedslisten - De Rød-Grønne,73,1968,11,5,1787,1803,2011-09-16 12:36:26,Havrehedskolen - Gymnastiksal                    Rugårdsvej 729                    5462 Morud,Morud,F605480011.htm,https://www.kmdvalg.dk/fv/2011/F605480011.htm,2011
9,Michael Ellegaard,0,1968,11,5,1787,1803,2011-09-16 12:36:26,Havrehedskolen - Gymnastiksal                    Rugårdsvej 729                    5462 Morud,Morud,F605480011.htm,https://www.kmdvalg.dk/fv/2011/F605480011.htm,2011
10,Lars Grønbæk Larsen,0,1968,11,5,1787,1803,2011-09-16 12:36:26,Havrehedskolen - Gymnastiksal                    Rugårdsvej 729                    5462 Morud,Morud,F605480011.htm,https://www.kmdvalg.dk/fv/2011/F605480011.htm,2011
0,Socialdemokratiet,300,1214,12,2,1035,1049,2011-09-16 11:53:48,Særslev Skole - Mødelokale                    Vestergade 5                    5471 Søndersø,Særslev,F605480012.htm,https://www.kmdvalg.dk/fv/2011/F605480012.htm,2011
1,Radikale Venstre,49,1214,12,2,1035,1049,2011-09-16 11:53:48,Særslev Skole - Mødelokale                    Vestergade 5                    5471 Søndersø,Særslev,F605480012.htm,https://www.kmdvalg.dk/fv/2011/F605480012.htm,2011
2,Det Konservative Folkeparti,55,1214,12,2,1035,1049,2011-09-16 11:53:48,Særslev Skole - Mødelokale                    Vestergade 5                    5471 Søndersø,Særslev,F605480012.htm,https://www.kmdvalg.dk/fv/2011/F605480012.htm,2011
3,SF - Socialistisk Folkeparti,84,1214,12,2,1035,1049,2011-09-16 11:53:48,Særslev Skole - Mødelokale                    Vestergade 5                    5471 Søndersø,Særslev,F605480012.htm,https://www.kmdvalg.dk/fv/2011/F605480012.htm,2011
4,Liberal Alliance,55,1214,12,2,1035,1049,2011-09-16 11:53:48,Særslev Skole - Mødelokale                    Vestergade 5                    5471 Søndersø,Særslev,F605480012.htm,https://www.kmdvalg.dk/fv/2011/F605480012.htm,2011
5,Kristendemokraterne,1,1214,12,2,1035,1049,2011-09-16 11:53:48,Særslev Skole - Mødelokale                    Vestergade 5                    5471 Søndersø,Særslev,F605480012.htm,https://www.kmdvalg.dk/fv/2011/F605480012.htm,2011
6,Dansk Folkeparti,159,1214,12,2,1035,1049,2011-09-16 11:53:48,Særslev Skole - Mødelokale                    Vestergade 5                    5471 Søndersø,Særslev,F605480012.htm,https://www.kmdvalg.dk/fv/2011/F605480012.htm,2011
7,"Venstre, Danmarks Liberale Parti",301,1214,12,2,1035,1049,2011-09-16 11:53:48,Særslev Skole - Mødelokale                    Vestergade 5                    5471 Søndersø,Særslev,F605480012.htm,https://www.kmdvalg.dk/fv/2011/F605480012.htm,2011
8,Enhedslisten - De Rød-Grønne,31,1214,12,2,1035,1049,2011-09-16 11:53:48,Særslev Skole - Mødelokale                    Vestergade 5                    5471 Søndersø,Særslev,F605480012.htm,https://www.kmdvalg.dk/fv/2011/F605480012.htm,2011
9,Michael Ellegaard,0,1214,12,2,1035,1049,2011-09-16 11:53:48,Særslev Skole - Mødelokale                    Vestergade 5                    5471 Søndersø,Særslev,F605480012.htm,https://www.kmdvalg.dk/fv/2011/F605480012.htm,2011
10,Lars Grønbæk Larsen,0,1214,12,2,1035,1049,2011-09-16 11:53:48,Særslev Skole - Mødelokale                    Vestergade 5                    5471 Søndersø,Særslev,F605480012.htm,https://www.kmdvalg.dk/fv/2011/F605480012.htm,2011
0,Socialdemokratiet,814,3268,20,7,2780,2807,2011-09-16 11:19:40,Søndersøskolen afd.Nordmark - Aula                    Ullerupvænget 10                    5471 Søndersø,Søndersø,F605480013.htm,https://www.kmdvalg.dk/fv/2011/F605480013.htm,2011
1,Radikale Venstre,129,3268,20,7,2780,2807,2011-09-16 11:19:40,Søndersøskolen afd.Nordmark - Aula                    Ullerupvænget 10                    5471 Søndersø,Søndersø,F605480013.htm,https://www.kmdvalg.dk/fv/2011/F605480013.htm,2011
2,Det Konservative Folkeparti,185,3268,20,7,2780,2807,2011-09-16 11:19:40,Søndersøskolen afd.Nordmark - Aula                    Ullerupvænget 10                    5471 Søndersø,Søndersø,F605480013.htm,https://www.kmdvalg.dk/fv/2011/F605480013.htm,2011
3,SF - Socialistisk Folkeparti,267,3268,20,7,2780,2807,2011-09-16 11:19:40,Søndersøskolen afd.Nordmark - Aula                    Ullerupvænget 10                    5471 Søndersø,Søndersø,F605480013.htm,https://www.kmdvalg.dk/fv/2011/F605480013.htm,2011
4,Liberal Alliance,98,3268,20,7,2780,2807,2011-09-16 11:19:40,Søndersøskolen afd.Nordmark - Aula                    Ullerupvænget 10                    5471 Søndersø,Søndersø,F605480013.htm,https://www.kmdvalg.dk/fv/2011/F605480013.htm,2011
5,Kristendemokraterne,7,3268,20,7,2780,2807,2011-09-16 11:19:40,Søndersøskolen afd.Nordmark - Aula                    Ullerupvænget 10                    5471 Søndersø,Søndersø,F605480013.htm,https://www.kmdvalg.dk/fv/2011/F605480013.htm,2011
6,Dansk Folkeparti,400,3268,20,7,2780,2807,2011-09-16 11:19:40,Søndersøskolen afd.Nordmark - Aula                    Ullerupvænget 10                    5471 Søndersø,Søndersø,F605480013.htm,https://www.kmdvalg.dk/fv/2011/F605480013.htm,2011
7,"Venstre, Danmarks Liberale Parti",768,3268,20,7,2780,2807,2011-09-16 11:19:40,Søndersøskolen afd.Nordmark - Aula                    Ullerupvænget 10                    5471 Søndersø,Søndersø,F605480013.htm,https://www.kmdvalg.dk/fv/2011/F605480013.htm,2011
8,Enhedslisten - De Rød-Grønne,112,3268,20,7,2780,2807,2011-09-16 11:19:40,Søndersøskolen afd.Nordmark - Aula                    Ullerupvænget 10                    5471 Søndersø,Søndersø,F605480013.htm,https://www.kmdvalg.dk/fv/2011/F605480013.htm,2011
9,Michael Ellegaard,0,3268,20,7,2780,2807,2011-09-16 11:19:40,Søndersøskolen afd.Nordmark - Aula                    Ullerupvænget 10                    5471 Søndersø,Søndersø,F605480013.htm,https://www.kmdvalg.dk/fv/2011/F605480013.htm,2011
10,Lars Grønbæk Larsen,0,3268,20,7,2780,2807,2011-09-16 11:19:40,Søndersøskolen afd.Nordmark - Aula                    Ullerupvænget 10                    5471 Søndersø,Søndersø,F605480013.htm,https://www.kmdvalg.dk/fv/2011/F605480013.htm,2011
0,Socialdemokratiet,414,1628,14,3,1471,1488,2011-09-16 10:46:21,Gl. Mesinge skole                    Gymnastiksalen                    Mesinge Bygade 51,Mesinge,F606440001.htm,https://www.kmdvalg.dk/fv/2011/F606440001.htm,2011
1,Radikale Venstre,120,1628,14,3,1471,1488,2011-09-16 10:46:21,Gl. Mesinge skole                    Gymnastiksalen                    Mesinge Bygade 51,Mesinge,F606440001.htm,https://www.kmdvalg.dk/fv/2011/F606440001.htm,2011
2,Det Konservative Folkeparti,58,1628,14,3,1471,1488,2011-09-16 10:46:21,Gl. Mesinge skole                    Gymnastiksalen                    Mesinge Bygade 51,Mesinge,F606440001.htm,https://www.kmdvalg.dk/fv/2011/F606440001.htm,2011
3,SF - Socialistisk Folkeparti,216,1628,14,3,1471,1488,2011-09-16 10:46:21,Gl. Mesinge skole                    Gymnastiksalen                    Mesinge Bygade 51,Mesinge,F606440001.htm,https://www.kmdvalg.dk/fv/2011/F606440001.htm,2011
4,Liberal Alliance,52,1628,14,3,1471,1488,2011-09-16 10:46:21,Gl. Mesinge skole                    Gymnastiksalen                    Mesinge Bygade 51,Mesinge,F606440001.htm,https://www.kmdvalg.dk/fv/2011/F606440001.htm,2011
5,Kristendemokraterne,6,1628,14,3,1471,1488,2011-09-16 10:46:21,Gl. Mesinge skole                    Gymnastiksalen                    Mesinge Bygade 51,Mesinge,F606440001.htm,https://www.kmdvalg.dk/fv/2011/F606440001.htm,2011
6,Dansk Folkeparti,171,1628,14,3,1471,1488,2011-09-16 10:46:21,Gl. Mesinge skole                    Gymnastiksalen                    Mesinge Bygade 51,Mesinge,F606440001.htm,https://www.kmdvalg.dk/fv/2011/F606440001.htm,2011
7,"Venstre, Danmarks Liberale Parti",343,1628,14,3,1471,1488,2011-09-16 10:46:21,Gl. Mesinge skole                    Gymnastiksalen                    Mesinge Bygade 51,Mesinge,F606440001.htm,https://www.kmdvalg.dk/fv/2011/F606440001.htm,2011
8,Enhedslisten - De Rød-Grønne,91,1628,14,3,1471,1488,2011-09-16 10:46:21,Gl. Mesinge skole                    Gymnastiksalen                    Mesinge Bygade 51,Mesinge,F606440001.htm,https://www.kmdvalg.dk/fv/2011/F606440001.htm,2011
9,Michael Ellegaard,0,1628,14,3,1471,1488,2011-09-16 10:46:21,Gl. Mesinge skole                    Gymnastiksalen                    Mesinge Bygade 51,Mesinge,F606440001.htm,https://www.kmdvalg.dk/fv/2011/F606440001.htm,2011
10,Lars Grønbæk Larsen,0,1628,14,3,1471,1488,2011-09-16 10:46:21,Gl. Mesinge skole                    Gymnastiksalen                    Mesinge Bygade 51,Mesinge,F606440001.htm,https://www.kmdvalg.dk/fv/2011/F606440001.htm,2011
0,Socialdemokratiet,718,3009,16,8,2681,2705,2011-09-16 12:23:39,Kerteminde Skole                    Festsalen                    Nørregade 21,Kerteminde 1,F606440002.htm,https://www.kmdvalg.dk/fv/2011/F606440002.htm,2011
1,Radikale Venstre,222,3009,16,8,2681,2705,2011-09-16 12:23:39,Kerteminde Skole                    Festsalen                    Nørregade 21,Kerteminde 1,F606440002.htm,https://www.kmdvalg.dk/fv/2011/F606440002.htm,2011
2,Det Konservative Folkeparti,176,3009,16,8,2681,2705,2011-09-16 12:23:39,Kerteminde Skole                    Festsalen                    Nørregade 21,Kerteminde 1,F606440002.htm,https://www.kmdvalg.dk/fv/2011/F606440002.htm,2011
3,SF - Socialistisk Folkeparti,294,3009,16,8,2681,2705,2011-09-16 12:23:39,Kerteminde Skole                    Festsalen                    Nørregade 21,Kerteminde 1,F606440002.htm,https://www.kmdvalg.dk/fv/2011/F606440002.htm,2011
4,Liberal Alliance,120,3009,16,8,2681,2705,2011-09-16 12:23:39,Kerteminde Skole                    Festsalen                    Nørregade 21,Kerteminde 1,F606440002.htm,https://www.kmdvalg.dk/fv/2011/F606440002.htm,2011
5,Kristendemokraterne,6,3009,16,8,2681,2705,2011-09-16 12:23:39,Kerteminde Skole                    Festsalen                    Nørregade 21,Kerteminde 1,F606440002.htm,https://www.kmdvalg.dk/fv/2011/F606440002.htm,2011
6,Dansk Folkeparti,379,3009,16,8,2681,2705,2011-09-16 12:23:39,Kerteminde Skole                    Festsalen                    Nørregade 21,Kerteminde 1,F606440002.htm,https://www.kmdvalg.dk/fv/2011/F606440002.htm,2011
7,"Venstre, Danmarks Liberale Parti",640,3009,16,8,2681,2705,2011-09-16 12:23:39,Kerteminde Skole                    Festsalen                    Nørregade 21,Kerteminde 1,F606440002.htm,https://www.kmdvalg.dk/fv/2011/F606440002.htm,2011
