kommunekod;objectid;id_lokalid;afstemni00;kmd_name;municipality;refs;refs;municipality;names;constituency
810;1298243;700990;Hjallerup Kulturhus;Hjallerup;Brønderslev Kommune;F1003810005.htm;F1003810005.htm;Brønderslev Kommune;Hjallerup;Brønderslevkredsen
810;1298245;704006;Tagrenden;Klokkerholm;Brønderslev Kommune;F1003810006.htm;F1003810006.htm;Brønderslev Kommune;Klokkerholm;Brønderslevkredsen
810;1298251;711454;Borgen;Brønderslev;Brønderslev Kommune;F1003810010.htm;F1003810010.htm;Brønderslev Kommune;Brønderslev;Brønderslevkredsen
810;1298255;702304;Stenum Kultur- og Forsamlingshus;Stenum;Brønderslev Kommune;F1003810034.htm;F1003810034.htm;Brønderslev Kommune;Stenum;Brønderslevkredsen
810;1298249;704012;Manna-Thise Multihus;Thise;Brønderslev Kommune;F1003810040.htm;F1003810040.htm;Brønderslev Kommune;Thise;Brønderslevkredsen
810;1298239;705646;Østsidehallen;Ø. Brønderslev;Brønderslev Kommune;F1003810050.htm;F1003810050.htm;Brønderslev Kommune;Ø. Brønderslev;Brønderslevkredsen
810;1298241;704018;Hallund Kro;Hallund;Brønderslev Kommune;F1003810056.htm;F1003810056.htm;Brønderslev Kommune;Hallund;Brønderslevkredsen
810;1298253;705640;Dronninglund Hotel;Jerslev;Brønderslev Kommune;F1003810070.htm;F1003810070.htm;Brønderslev Kommune;Jerslev;Brønderslevkredsen
810;1298247;708630;Serritslev Forsamlingshus;Serritslev;Brønderslev Kommune;F1003810080.htm;F1003810080.htm;Brønderslev Kommune;Serritslev;Brønderslevkredsen
411;1276595;702974;Gæstgiveriet;Christiansø;Christiansø Kommune;F402411001.htm;F402411001.htm;Christiansø Kommune;Christiansø;Aakirkebykredsen
155;1282782;706596;Dragør Skole;Dragør Skole Syd;Dragør Kommune;F112155001.htm;F112155001.htm;Dragør Kommune;Dragør Skole Syd;Tårnbykredsen
240;1300920;703642;Ledøje Forsamlingshus;Ledøje Forsamlingshus;Egedal Kommune;F305240001.htm;F305240001.htm;Egedal Kommune;Ledøje Forsamlingshus;Egedalkredsen
240;1300912;711116;Ledøje-Smørum Idrætscenter;Ledøje-Smørum Idrætscenter;Egedal Kommune;F305240002.htm;F305240002.htm;Egedal Kommune;Ledøje-Smørum Idrætscenter;Egedalkredsen
240;1300906;709714;Stenløse Hallen;Stenløse;Egedal Kommune;F305240003.htm;F305240003.htm;Egedal Kommune;Stenløse;Egedalkredsen
240;1300902;712198;Veksø Multihal;Veksø;Egedal Kommune;F305240004.htm;F305240004.htm;Egedal Kommune;Veksø;Egedalkredsen
240;1300900;706424;Ganløse Hallen;Ganløse;Egedal Kommune;F305240005.htm;F305240005.htm;Egedal Kommune;Ganløse;Egedalkredsen
240;1300910;705194;Slagslunde Forsamlingshus;Slagslunde;Egedal Kommune;F305240006.htm;F305240006.htm;Egedal Kommune;Slagslunde;Egedalkredsen
240;1300908;703648;Toftehøjskolen;Toftehøjskolen;Egedal Kommune;F305240007.htm;F305240007.htm;Egedal Kommune;Toftehøjskolen;Egedalkredsen
240;1300904;701864;Stengårdsskolen;Stengårdsskolen;Egedal Kommune;F305240008.htm;F305240008.htm;Egedal Kommune;Stengårdsskolen;Egedalkredsen
240;1300918;705206;Bækkegårdsskolen;Bækkegårdsskolen;Egedal Kommune;F305240009.htm;F305240009.htm;Egedal Kommune;Bækkegårdsskolen;Egedalkredsen
561;1302825;705826;Esbjerg Rådhus;Esbjerg Rådhus;Esbjerg Kommune;F704561002.htm;F704561002.htm;Esbjerg Kommune;Esbjerg Rådhus;Esbjerg Bykredsen
561;1290741;708726;Skovbo Centeret (Indgang Gl Vardevej);Skovbo;Esbjerg Kommune;F704561003.htm;F704561003.htm;Esbjerg Kommune;Skovbo Centeret;Esbjerg Bykredsen
561;1290990;701204;Rørkjær Skole Urban;Rørkjær;Esbjerg Kommune;F704561004.htm;F704561004.htm;Esbjerg Kommune;Rørkjær;Esbjerg Bykredsen
561;1290944;710374;Bakkeskolen Cosmos;Jerne;Esbjerg Kommune;F704561005.htm;F704561005.htm;Esbjerg Kommune;Bakkeskolen;Esbjerg Bykredsen
561;1290980;702746;Boldesager Skole Cosmos (indgang Edelsvej);Boldesager;Esbjerg Kommune;F704561006.htm;F704561006.htm;Esbjerg Kommune;Boldesager;Esbjerg Bykredsen
561;1290984;702806;Østerbycentret;Østerbyen;Esbjerg Kommune;F704561007.htm;F704561007.htm;Esbjerg Kommune;Østerbycentret;Esbjerg Bykredsen
561;1290998;708768;Vitaskolen Bohr (Bygning A);Gjesing;Esbjerg Kommune;F704561011.htm;F704561011.htm;Esbjerg Kommune;Vitaskolen;Esbjerg Bykredsen
561;1302823;704330;Sædding Fritidscenter;Sædding;Esbjerg Kommune;F704561015.htm;F704561015.htm;Esbjerg Kommune;Sædding;Esbjerg Bykredsen
561;1290942;702740;Kvaglundhallen;Kvaglund;Esbjerg Kommune;F704561021.htm;F704561021.htm;Esbjerg Kommune;Kvaglund;Esbjerg Bykredsen
561;1290994;710368;Ådalskolen Bohr (Gymnastiksalen);Ådalen;Esbjerg Kommune;F704561022.htm;F704561022.htm;Esbjerg Kommune;Ådalskolen;Esbjerg Bykredsen
561;1290996;710398;"Studie 10; Esbjerg Ungdomsskole";Grønlandsparken;Esbjerg Kommune;F704561023.htm;F704561023.htm;Esbjerg Kommune;Blåbjerggårdskolen;Esbjerg Bykredsen
561;1289717;705174;Skads Skole Signatur (Gymnastiksalen);Skads;Esbjerg Kommune;F705561008.htm;F705561008.htm;Esbjerg Kommune;Skads;Esbjerg Omegnskredsen
561;1289681;701840;Bryndum Skole Aura (Gymnastiksalen);Bryndum;Esbjerg Kommune;F705561012.htm;F705561012.htm;Esbjerg Kommune;Bryndum;Esbjerg Omegnskredsen
561;1289657;712150;Hjerting Skole Aura (Indgang Plantagevej);Hjerting;Esbjerg Kommune;F705561016.htm;F705561016.htm;Esbjerg Kommune;Hjerting;Esbjerg Omegnskredsen
561;1289621;709664;Guldager Forsamlingshus;Guldager;Esbjerg Kommune;F705561017.htm;F705561017.htm;Esbjerg Kommune;Guldager;Esbjerg Omegnskredsen
561;1290992;703522;Tjæreborg Skole Signatur;Tjæreborg;Esbjerg Kommune;F705561020.htm;F705561020.htm;Esbjerg Kommune;Tjæreborg;Esbjerg Omegnskredsen
561;1289666;711090;Sønderrisskolen Aura (Sønderrishallen);Sønderris;Esbjerg Kommune;F705561024.htm;F705561024.htm;Esbjerg Kommune;Sønderris;Esbjerg Omegnskredsen
561;1291004;703542;Bramming Kultur- og Fritidscenter;Bramming;Esbjerg Kommune;F705561025.htm;F705561025.htm;Esbjerg Kommune;Bramming;Esbjerg Omegnskredsen
561;1291002;703580;Ribe-Hallen;Ribe;Esbjerg Kommune;F705561028.htm;F705561028.htm;Esbjerg Kommune;Ribe;Esbjerg Omegnskredsen
561;1290986;707870;Kultur- og Aktivitetscenter;Egebæk-Hviding;Esbjerg Kommune;F705561032.htm;F705561032.htm;Esbjerg Kommune;Egebæk-Hviding;Esbjerg Omegnskredsen
561;1291000;701812;Kongeåhallen;Gredstedbro;Esbjerg Kommune;F705561033.htm;F705561033.htm;Esbjerg Kommune;Gredstedbro;Esbjerg Omegnskredsen
561;1290988;703586;Klithus Mandø;Mandø;Esbjerg Kommune;F705561035.htm;F705561035.htm;Esbjerg Kommune;Mandø;Esbjerg Omegnskredsen
561;1290982;707876;Høm Forsamlingshus;Høm;Esbjerg Kommune;F705561038.htm;F705561038.htm;Esbjerg Kommune;Høm;Esbjerg Omegnskredsen
561;1290976;707864;Gørding Idræts- og Kulturcenter;Gørding;Esbjerg Kommune;F705561040.htm;F705561040.htm;Esbjerg Kommune;Gørding;Esbjerg Omegnskredsen
563;1278221;702962;Fanø-Hallen;Nordby;Fanø Kommune;F704563001.htm;F704563001.htm;Fanø Kommune;Nordby;Esbjerg Bykredsen
563;1278514;710532;Sønderho Forsamlingshus;Sønderho;Fanø Kommune;F704563002.htm;F704563002.htm;Fanø Kommune;Sønderho;Esbjerg Bykredsen
710;1290641;712100;Hadsten Hallen;Hadsten Nord;Favrskov Kommune;F808710001.htm;F808710001.htm;Favrskov Kommune;Hadsten Nord;Favrskovkredsen
