,objectid,afstem_navn1,afstem_navn2,kommunekod,kommunenavn,opst_kreds,postnr,time_stamp,votes,left_votes,right_votes,independent_votes,blank_votes,invalid_votes,left_share,right_share,independent_share,institutionsnummer,skole_navn,institutionstype2,institutionstype3,karakter,karakter_soc_ref,salgspris,disindk,kriminelitet,lavindk,skilsmisser,andel_indv
1273,1299950,Hobrovejens Skole,Hobrovejens Skole,730,Randers Kommune,Randers Sydkredsen,8900,11:35 06-06-2019,2319.0,1325.0,990.0,4.0,31,7,0.5713669685209142,0.4269081500646831,0.0017248814144027599,731016,Forberedelsesskolen,Grundskoler,Friskoler og private grundskoler,9.0,8.0,11867.0,216009,6.2,22.4,14.7,6.0520497725311575
1274,1299978,Rismølleskolen,Rismølleskolen,730,Randers Kommune,Randers Nordkredsen,8930,11:24 06-06-2019,3198.0,1726.9999999999998,1471.0,0.0,14,9,0.5400250156347717,0.45997498436522827,0.0,731006,Rismølleskolen,Grundskoler,Folkeskoler,6.4,6.7,10202.25,216009,6.2,22.4,14.7,6.0520497725311575
1275,1299982,Kultur- & Aktivitetshuset i Gassum,Kultur-Aktivitetshuset Gassum,730,Randers Kommune,Randers Nordkredsen,8981,09:41 06-06-2019,541.0,234.0,306.0,1.0,4,2,0.43253234750462105,0.5656192236598891,0.0018484288354898336,729002,Blicherskolen,Grundskoler,Folkeskoler,7.2,6.6,8022.0,216009,6.2,22.4,14.7,6.0520497725311575
1276,1300044,Blicherskolen,Blicherskolen,730,Randers Kommune,Randers Nordkredsen,8981,10:17 06-06-2019,1678.0,814.0,864.0,0.0,13,3,0.4851013110846245,0.5148986889153754,0.0,729002,Blicherskolen,Grundskoler,Folkeskoler,7.2,6.6,8022.0,216009,6.2,22.4,14.7,6.0520497725311575
1277,1299990,Nørrevangsskolen,Nørrevangsskolen,730,Randers Kommune,Randers Nordkredsen,8930,11:12 06-06-2019,2680.0,1704.0,975.0,1.0,32,15,0.6358208955223881,0.36380597014925375,0.00037313432835820896,731014,Nørrevangsskolen,Grundskoler,Folkeskoler,6.1,5.8,10202.25,216009,6.2,22.4,14.7,6.0520497725311575
1278,1300042,Vestervangsskolen,Vestervangsskolen,730,Randers Kommune,Randers Nordkredsen,8920,12:14 06-06-2019,4180.0,2329.0,1848.0,3.0,32,10,0.557177033492823,0.4421052631578947,0.0007177033492822966,731011,Vestervangsskolen,Grundskoler,Folkeskoler,6.8,6.7,11173.5,216009,6.2,22.4,14.7,6.0520497725311575
1279,1300046,Hornbækhallen,Hornbækhallen,730,Randers Kommune,Randers Nordkredsen,8920,11:37 06-06-2019,2786.0,1149.0,1636.0,1.0,20,1,0.4124192390524049,0.5872218234027279,0.0003589375448671931,731003,Hornbæk Skole,Grundskoler,Folkeskoler,7.7,7.6,11173.5,216009,6.2,22.4,14.7,6.0520497725311575
1280,1288807,Humlum Kro,Humlum,671,Struer Kommune,Struerkredsen,7600,10:00 06-06-2019,1165.0,543.0,622.0,0.0,12,3,0.4660944206008584,0.5339055793991416,0.0,671009,Parkskolen,Grundskoler,Folkeskoler,7.8,7.2,7775.25,213174,4.3,19.4,11.7,5.594372468676724
1281,1288811,"Struer Energi Park, Hal 4",Struer,671,Struer Kommune,Struerkredsen,7600,11:30 06-06-2019,5017.0,2570.0,2447.0,0.0,41,18,0.512258321706199,0.48774167829380116,0.0,671009,Parkskolen,Grundskoler,Folkeskoler,7.8,7.2,7775.25,213174,4.3,19.4,11.7,5.594372468676724
1282,1288814,Langhøj Hallen,Langhøj,671,Struer Kommune,Struerkredsen,7600,11:35 06-06-2019,1382.0,448.0,934.0,0.0,6,3,0.32416787264833574,0.6758321273516642,0.0,671009,Parkskolen,Grundskoler,Folkeskoler,7.8,7.2,7775.25,213174,4.3,19.4,11.7,5.594372468676724
1283,1288818,Bremdal Aktivitetscenter,Bremdal,671,Struer Kommune,Struerkredsen,7600,10:37 06-06-2019,1322.0,598.0,724.0,0.0,7,1,0.4523449319213314,0.5476550680786688,0.0,671009,Parkskolen,Grundskoler,Folkeskoler,7.8,7.2,7775.25,213174,4.3,19.4,11.7,5.594372468676724
1284,1288820,Hjerm Sognegård,Hjerm,671,Struer Kommune,Struerkredsen,7600,09:25 06-06-2019,1097.0,396.0,701.0,0.0,11,1,0.3609845031905196,0.6390154968094804,0.0,671011,Struer Friskole,Grundskoler,Friskoler og private grundskoler,6.9,7.2,7775.25,213174,4.3,19.4,11.7,5.594372468676724
1285,1288830,"Limfjordsskolen, Multisalen",Gimsing,671,Struer Kommune,Struerkredsen,7600,09:57 06-06-2019,1416.0,688.0,728.0,0.0,9,8,0.4858757062146893,0.5141242937853108,0.0,671011,Struer Friskole,Grundskoler,Friskoler og private grundskoler,6.9,7.2,7775.25,213174,4.3,19.4,11.7,5.594372468676724
1286,1288828,Midtpunktet Thyholm,Hvidbjerg,671,Struer Kommune,Struerkredsen,7790,10:59 06-06-2019,2001.0,816.0,1185.0,0.0,13,8,0.4077961019490255,0.5922038980509745,0.0,675001,Thyholm Skole,Grundskoler,Folkeskoler,7.0,6.9,3363.0,213174,4.3,19.4,11.7,5.594372468676724
1287,1290614,Laurbjerg Hallen,Laurbjerg/Houlbjerg,710,Favrskov Kommune,Favrskovkredsen,8870,11:26 06-06-2019,1254.0,608.0,644.0,2.0,12,1,0.48484848484848486,0.5135566188197768,0.001594896331738437,717002,Langå Skole,Grundskoler,Folkeskoler,6.9,6.8,9349.75,243703,4.0,9.9,11.4,4.069343725933085
1288,1290616,Farre Forsamlingshus,Hammel Syd,710,Favrskov Kommune,Favrskovkredsen,8450,12:05 06-06-2019,1336.0,626.0,706.0,4.0,8,4,0.46856287425149706,0.5284431137724552,0.002994011976047905,711005,Regnbueskolen,Grundskoler,Friskoler og private grundskoler,7.1,7.0,11513.5,243703,4.0,9.9,11.4,4.069343725933085
1289,1290618,Ulstruphallerne,Ulstrup,710,Favrskov Kommune,Favrskovkredsen,8860,11:23 06-06-2019,2544.0,1096.0,1444.0,4.0,26,3,0.4308176100628931,0.5676100628930818,0.0015723270440251573,767002,Ulstrup Skole,Grundskoler,Folkeskoler,7.3,7.3,6579.0,243703,4.0,9.9,11.4,4.069343725933085
