,institutionsnummer,karakter,soc_ref,beliggenhedskommunenr,lat,lon,postnr,student_count,navn,institutionstype2,institutionstype3,coordinates,postnavn,komnavn,year,salgspris,disindk,langledig,kriminelitet,lavindk,skilsmisser
15,101023,5.7,5.6,101,55.7190877977116,12.484466885778401,2700,412.0,Tingbjerg Skole,Grundskoler,Folkeskoler,"(55.7190877977116, 12.484466885778401)",Brønshøj,Københavns Kommune,2015,27271.0,209991.0,1.2249999999999999,6.4,40.6,20.8
16,101015,6.1,6.0,101,55.6988371703698,12.5272299764227,2400,446.0,Grøndalsvængets Skole,Grundskoler,Folkeskoler,"(55.6988371703698, 12.5272299764227)",København NV,Københavns Kommune,2015,29572.0,209991.0,1.2249999999999999,6.4,40.6,20.8
17,101029,4.1,5.1,101,55.7097800671489,12.533511075824,2400,523.0,Tagensbo Skole,Grundskoler,Folkeskoler,"(55.7097800671489, 12.533511075824)",København NV,Københavns Kommune,2015,29572.0,209991.0,1.2249999999999999,6.4,40.6,20.8
18,101030,6.7,6.6,101,55.724450197991295,12.5287620322137,2400,612.0,Holbergskolen,Grundskoler,Folkeskoler,"(55.724450197991295, 12.5287620322137)",København NV,Københavns Kommune,2015,29572.0,209991.0,1.2249999999999999,6.4,40.6,20.8
19,101077,5.7,5.8,101,55.700330342236214,12.5350867947684,2400,62.0,Svanevej Privatskole,Grundskoler,Friskoler og private grundskoler,"(55.70033034223621, 12.5350867947684)",København NV,Københavns Kommune,2015,29572.0,209991.0,1.2249999999999999,6.4,40.6,20.8
20,101178,6.6,6.9,101,55.70223276319921,12.5358365040029,2400,118.0,Lygten Skole,Grundskoler,Friskoler og private grundskoler,"(55.702232763199206, 12.5358365040029)",København NV,Københavns Kommune,2015,29572.0,209991.0,1.2249999999999999,6.4,40.6,20.8
21,101184,6.9,6.2,101,55.6985444983091,12.5306831759221,2400,203.0,Sjællands Privatskole,Grundskoler,Friskoler og private grundskoler,"(55.6985444983091, 12.5306831759221)",København NV,Københavns Kommune,2015,29572.0,209991.0,1.2249999999999999,6.4,40.6,20.8
22,101516,6.3,6.0,101,55.7058615957497,12.526234665517899,2400,304.0,Al Quds Skole,Grundskoler,Friskoler og private grundskoler,"(55.7058615957497, 12.526234665517899)",København NV,Københavns Kommune,2015,29572.0,209991.0,1.2249999999999999,6.4,40.6,20.8
23,101526,5.8,5.9,101,55.7009690047132,12.5360630242783,2400,186.0,Al-Hilal Skolen,Grundskoler,Friskoler og private grundskoler,"(55.7009690047132, 12.5360630242783)",København NV,Københavns Kommune,2015,29572.0,209991.0,1.2249999999999999,6.4,40.6,20.8
24,101540,7.0,7.4,101,55.7112670082224,12.5198615632974,2400,709.0,Utterslev Skole,Grundskoler,Folkeskoler,"(55.7112670082224, 12.5198615632974)",København NV,Københavns Kommune,2015,29572.0,209991.0,1.2249999999999999,6.4,40.6,20.8
25,101581,7.0,6.5,101,55.7081414456415,12.5244217779389,2400,263.0,Nord-Vest Privatskole,Grundskoler,Friskoler og private grundskoler,"(55.7081414456415, 12.5244217779389)",København NV,Københavns Kommune,2015,29572.0,209991.0,1.2249999999999999,6.4,40.6,20.8
