,institutionsnummer,karakter,soc_ref,beliggenhedskommunenr,lat,lon,postnr,navn,institutionstype2,institutionstype3,coordinates,postnavn,komnavn,year,salgspris,disindk,langledig,kriminelitet,lavindk,skilsmisser,andel_indv
1038,785006,6.2,6.2,787,56.7541969353844,8.41707396034857,7760,Hurup Skole,Grundskoler,Folkeskoler,"(56.7541969353844, 8.41707396034857)",Hurup Thy,Thisted Kommune,2011,4389.0,181162,1.1333333333333333,3.6,17.9,10.7,2.6074462006180203
1039,785007,5.7,5.7,787,56.846240942342796,8.52894469336105,7752,Koldby Skole,Grundskoler,Folkeskoler,"(56.846240942342796, 8.52894469336105)",Snedsted,Thisted Kommune,2011,4012.0,181162,1.1333333333333333,3.6,17.9,10.7,2.6074462006180203
1040,787008,7.0,6.5,787,56.8926153980434,8.533469327469929,7752,Snedsted Skole,Grundskoler,Folkeskoler,"(56.8926153980434, 8.533469327469929)",Snedsted,Thisted Kommune,2011,4012.0,181162,1.1333333333333333,3.6,17.9,10.7,2.6074462006180203
1041,785009,6.8,6.6,787,56.765648275837705,8.3224892874704,7770,Vestervig Skole,Grundskoler,Folkeskoler,"(56.765648275837705, 8.3224892874704)",Vestervig,Thisted Kommune,2011,,181162,1.1333333333333333,3.6,17.9,10.7,2.6074462006180203
1042,787006,6.3,6.2,787,56.9528852034854,8.59394843512022,7700,Sjørring Skole,Grundskoler,Folkeskoler,"(56.9528852034854, 8.59394843512022)",Thisted,Thisted Kommune,2011,7527.0,181162,1.1333333333333333,3.6,17.9,10.7,2.6074462006180203
1043,787013,7.0,6.5,787,56.960084099993715,8.66728825479246,7700,Tingstrup Skole,Grundskoler,Folkeskoler,"(56.96008409999371, 8.66728825479246)",Thisted,Thisted Kommune,2011,7527.0,181162,1.1333333333333333,3.6,17.9,10.7,2.6074462006180203
1044,787019,7.1,6.7,787,56.9595122215825,8.70321763467649,7700,Østre Skole,Grundskoler,Folkeskoler,"(56.9595122215825, 8.70321763467649)",Thisted,Thisted Kommune,2011,7527.0,181162,1.1333333333333333,3.6,17.9,10.7,2.6074462006180203
1045,787301,5.2,5.8,787,56.93137784,8.53519289,7700,Thyland Idrætsefterskole,Efterskoler,Efterskoler,"(56.93137784, 8.53519289)",Thisted,Thisted Kommune,2011,7527.0,181162,1.1333333333333333,3.6,17.9,10.7,2.6074462006180203
1046,789002,4.9,5.2,791,56.507366768215505,9.74249202474811,8830,Hammershøj Skole,Grundskoler,Folkeskoler,"(56.507366768215505, 9.74249202474811)",Tjele,Viborg Kommune,2011,7843.0,194133,1.3250000000000002,2.9,14.6,12.8,3.4305967380773823
1047,789005,6.8,6.4,791,56.49949168303871,9.509211191596089,8830,Sødalskolen,Grundskoler,Folkeskoler,"(56.499491683038706, 9.509211191596089)",Tjele,Viborg Kommune,2011,7843.0,194133,1.3250000000000002,2.9,14.6,12.8,3.4305967380773823
1048,789008,6.1,6.2,791,56.4838581325395,9.6249415414789,8830,Ørum Skole,Grundskoler,Folkeskoler,"(56.4838581325395, 9.6249415414789)",Tjele,Viborg Kommune,2011,7843.0,194133,1.3250000000000002,2.9,14.6,12.8,3.4305967380773823
