,navn,postnr,beliggenhedskommune,beliggenhedskommunenr,lat,lon,institutionstype2,institutionstype3,institutionsnummer
48,Det Kgl Vaisenhus Skole,1364,Københavns Kommune,101,55.683976258938,12.5667857706436,Grundskoler,Friskoler og private grundskoler,101080
49,Institut Sankt Joseph,2100,Københavns Kommune,101,55.6941915753893,12.5823077867772,Grundskoler,Friskoler og private grundskoler,101081
50,Sankt Ansgars Skole,2200,Københavns Kommune,101,55.6882437188882,12.5593533207393,Grundskoler,Friskoler og private grundskoler,101082
51,Krebs' Skole,2100,Københavns Kommune,101,55.6897909701876,12.5755962794031,Grundskoler,Friskoler og private grundskoler,101083
52,Sankt Annæ Skole,2300,Københavns Kommune,101,55.6538333852583,12.6071414814094,Grundskoler,Friskoler og private grundskoler,101084
53,Bordings Friskole,2100,Københavns Kommune,101,55.6941743205278,12.5763229051642,Grundskoler,Friskoler og private grundskoler,101086
54,Den Lille Skole i København,2700,Københavns Kommune,101,55.6990911761934,12.4869497597463,Grundskoler,Friskoler og private grundskoler,101087
55,N. Zahles Seminarieskole,1361,Københavns Kommune,101,55.6827235384127,12.569256361674,Grundskoler,Friskoler og private grundskoler,101088
56,Sankt Petri Skole,1451,Københavns Kommune,101,55.6797379385099,12.569634084039,Grundskoler,Friskoler og private grundskoler,101089
57,Østerbro Lilleskole,2100,Københavns Kommune,101,55.7114552620045,12.5806752962817,Grundskoler,Friskoler og private grundskoler,101090
58,"Hovedstadens Privatskole, Filipskolen",2300,Københavns Kommune,101,55.6624030145113,12.6318796858562,Grundskoler,Friskoler og private grundskoler,101091
59,Amager Lille Skole,2300,Københavns Kommune,101,55.6513244813005,12.6173567016551,Grundskoler,Friskoler og private grundskoler,101092
60,Skolen i Charlottegården,2400,Københavns Kommune,101,55.7045928167715,12.5258206507692,Specialskoler for bÃ¸rn,Specialskoler for bÃ¸rn,101093
61,Frederiksgård Skole,2200,Københavns Kommune,101,55.6960889150408,12.5390706765494,Specialskoler for bÃ¸rn,Specialskoler for bÃ¸rn,101094
62,Engskolen,1671,Københavns Kommune,101,55.6683024811227,12.5455682215287,Specialskoler for bÃ¸rn,Specialskoler for bÃ¸rn,101098
63,Byens Skole,2500,Københavns Kommune,101,55.6581068147651,12.5058890928141,Grundskoler,Friskoler og private grundskoler,101111
64,Øbro Fri Skole,2100,Københavns Kommune,101,55.6905667947849,12.5757787098614,Grundskoler,Friskoler og private grundskoler,101127
65,Landsbyskolen,2300,Københavns Kommune,101,55.6490176110893,12.6340561633662,Grundskoler,Friskoler og private grundskoler,101129
66,Nørrebro Lilleskole,2200,Københavns Kommune,101,55.6941888503038,12.551259126975,Grundskoler,Friskoler og private grundskoler,101132
67,Freinet-Skolen,2500,Københavns Kommune,101,55.6660022996429,12.5064141973877,Grundskoler,Friskoler og private grundskoler,101133
68,Vanløse Privatskole,2720,Københavns Kommune,101,55.6821712117566,12.4880983225825,Grundskoler,Friskoler og private grundskoler,101135
69,Lundehusskolen,2100,Københavns Kommune,101,55.7184703801835,12.5443623996613,Grundskoler,Folkeskoler,101138
70,Trekronergade Freinetskole,2500,Københavns Kommune,101,55.657277,12.51978288,Grundskoler,Friskoler og private grundskoler,101140
71,Ryparken Lille Skole,2100,Københavns Kommune,101,55.721324188711,12.5583378548561,Grundskoler,Friskoler og private grundskoler,101145
72,DIA Privatskole,2200,Københavns Kommune,101,55.69039923,12.56165569,Grundskoler,Friskoler og private grundskoler,101149
73,Kildevældsskolen,2100,Københavns Kommune,101,55.7164942874555,12.5733199878141,Grundskoler,Folkeskoler,101151
74,Bjørns Internationale Skole,2100,Københavns Kommune,101,55.7213912573883,12.5586640107915,Grundskoler,Friskoler og private grundskoler,101152
75,Ingrid Jespersens Gymnasieskole,2100,Københavns Kommune,101,55.700287411551,12.5785481531163,Grundskoler,Friskoler og private grundskoler,101153
76,Niels Steensens Gymnasium,2100,Københavns Kommune,101,55.708127772763,12.5670547038203,Grundskoler,Friskoler og private grundskoler,101154
77,N. Zahles Gymnasieskole,1358,Københavns Kommune,101,55.6824569048097,12.5698287665144,Grundskoler,Friskoler og private grundskoler,101155
78,Sortedamskolen,2100,Københavns Kommune,101,55.6977329321241,12.577207980257,Grundskoler,Folkeskoler,101157
79,Sankt Annæ Gymnasiums Grundskole,2500,Københavns Kommune,101,55.6560840533205,12.5258455390821,Grundskoler,Folkeskoler,101158
80,Kildeskolen,2500,Københavns Kommune,101,55.6591591982375,12.5018591256167,Grundskoler,Friskoler og private grundskoler,101162
81,Amager's International School,2300,Københavns Kommune,101,55.6480678336653,12.6347715795188,Grundskoler,Friskoler og private grundskoler,101163
82,Jinnah International School,2720,Københavns Kommune,101,55.6961895927436,12.4813493360965,Grundskoler,Friskoler og private grundskoler,101169
83,Det Frie Gymnasiums Grundskole,2200,Københavns Kommune,101,55.6925081,12.55873945,Grundskoler,Friskoler og private grundskoler,101170
