,institutionsnummer,Karakter,Soc_ref,beliggenhedskommunenr,lat,lon,postnr,student_count,navn,institutionstype2,institutionstype3,coordinates
733,565007,7.8,6.8,530.0,55.8397568886968,8.8909910822516,7260.0,322.0,Sdr Omme Skole,Grundskoler,Folkeskoler,"(55.8397568886968, 8.8909910822516)"
734,565009,6.7,6.3,530.0,55.763245391075,8.91458771495032,7200.0,661.0,Grindsted Vestre Skole,Grundskoler,Folkeskoler,"(55.763245391075, 8.91458771495032)"
735,565010,7.3,6.8,530.0,55.7638447941366,8.90081796362481,7200.0,175.0,Grindsted Privatskole,Grundskoler,Friskoler og private grundskoler,"(55.7638447941366, 8.90081796362481)"
736,567001,7.1,6.7,573.0,55.6025621639228,8.80899591674333,6753.0,264.0,Agerbæk Skole,Grundskoler,Folkeskoler,"(55.6025621639228, 8.80899591674333)"
737,567300,6.1,6.5,573.0,55.649045991665105,8.66100980939023,6800.0,87.0,Øse Efterskole,Efterskoler,Efterskoler,"(55.649045991665105, 8.66100980939023)"
738,569004,6.5,6.6,575.0,55.500569640276396,8.91492913217878,6670.0,538.0,Højmarkskolen,Grundskoler,Folkeskoler,"(55.500569640276396, 8.91492913217878)"
739,571022,8.0,7.5,561.0,55.33125869773811,8.773655962014839,6760.0,233.0,Riberhus Privatskole,Grundskoler,Friskoler og private grundskoler,"(55.33125869773811, 8.773655962014839)"
740,573003,7.5,7.1,573.0,55.6309045549066,8.48196297851655,6800.0,709.0,Brorsonskolen,Grundskoler,Folkeskoler,"(55.6309045549066, 8.48196297851655)"
741,573006,7.4,6.9,573.0,55.611826671655706,8.48824191422897,6800.0,557.0,Lykkesgårdskolen,Grundskoler,Folkeskoler,"(55.611826671655706, 8.48824191422897)"
742,573008,6.9,6.6,573.0,55.618871818942395,8.47145534547494,6800.0,473.0,Sct. Jacobi Skole,Grundskoler,Folkeskoler,"(55.618871818942395, 8.47145534547494)"
743,573300,8.3,8.2,573.0,55.622163320488006,8.52555861214744,6800.0,105.0,Vardeegnens Gymnasieforberedende Efterskole,Efterskoler,Efterskoler,"(55.622163320488006, 8.52555861214744)"
744,575003,7.4,7.1,575.0,55.4749682098399,9.12646950914345,6600.0,950.0,Grønvangskolen,Grundskoler,Folkeskoler,"(55.4749682098399, 9.12646950914345)"
745,575004,6.7,6.4,575.0,55.5714476403394,9.137099518805881,6622.0,296.0,Bække Skole,Grundskoler,Folkeskoler,"(55.5714476403394, 9.137099518805881)"
746,575011,6.1,6.1,575.0,55.481321791705504,9.14622215559749,6600.0,555.0,Østerbyskolen,Grundskoler,Folkeskoler,"(55.481321791705504, 9.14622215559749)"
747,575013,7.8,7.6,575.0,55.5235918373555,9.113826530143529,6600.0,183.0,Vejen friskole,Grundskoler,Friskoler og private grundskoler,"(55.5235918373555, 9.113826530143529)"
748,575300,6.7,7.4,575.0,55.4463794263047,9.110603518106961,6600.0,153.0,Skibelund Gymnastik- og Idrætsefterskole,Efterskoler,Efterskoler,"(55.4463794263047, 9.110603518106961)"
749,575306,5.3,6.2,575.0,55.4849823403786,9.04847990234445,6600.0,135.0,Ladelund Efterskole,Efterskoler,Efterskoler,"(55.4849823403786, 9.04847990234445)"
750,575307,6.4,7.0,575.0,55.47101274341829,9.0996521702434,6600.0,82.0,Askov Højskole og Efterskole,Efterskoler,Efterskoler,"(55.47101274341829, 9.0996521702434)"
751,577001,7.5,6.9,573.0,55.70446245956679,8.75558154172875,6823.0,212.0,Ansager Skole,Grundskoler,Folkeskoler,"(55.70446245956679, 8.75558154172875)"
752,577007,6.8,6.4,573.0,55.719289538518495,8.61016118495538,6862.0,300.0,Tistrup Skole,Grundskoler,Folkeskoler,"(55.719289538518495, 8.61016118495538)"
753,577008,7.1,6.7,573.0,55.8098210112361,8.61228104082406,6870.0,621.0,Ølgod Skole,Grundskoler,Folkeskoler,"(55.8098210112361, 8.61228104082406)"
