,institutionsnummer,Karakter,Soc_ref,beliggenhedskommunenr,lat,lon,postnr,navn,institutionstype2,institutionstype3,coordinates
14,101029,6.0,5.5,101,55.7097800671489,12.533511075824,2400,Tagensbo Skole,Grundskoler,Folkeskoler,"(55.7097800671489, 12.533511075824)"
15,101030,6.7,6.6,101,55.724450197991295,12.5287620322137,2400,Holbergskolen,Grundskoler,Folkeskoler,"(55.724450197991295, 12.5287620322137)"
16,101034,5.5,5.3,101,55.699025080831206,12.5495949937569,2200,Rådmandsgades Skole,Grundskoler,Folkeskoler,"(55.699025080831206, 12.5495949937569)"
17,101035,6.7,7.3,101,55.693185103816205,12.5531439907036,2200,Guldberg Skole,Grundskoler,Folkeskoler,"(55.693185103816205, 12.5531439907036)"
18,101039,7.5,7.8,101,55.7057827485052,12.5807941283846,2100,Randersgades Skole,Grundskoler,Folkeskoler,"(55.7057827485052, 12.5807941283846)"
19,101041,7.0,7.3,101,55.71124434353129,12.579208584077598,2100,Strandvejsskolen,Grundskoler,Folkeskoler,"(55.71124434353129, 12.579208584077598)"
20,101042,6.9,6.8,101,55.7087556166683,12.5788239345057,2100,Vibenshus Skole,Grundskoler,Folkeskoler,"(55.7087556166683, 12.5788239345057)"
21,101043,7.3,7.5,101,55.692564602145005,12.5775684168944,2100,Øster Farimagsgades Skole,Grundskoler,Folkeskoler,"(55.692564602145005, 12.5775684168944)"
22,101045,6.9,6.6,101,55.7053610702465,12.5581524982066,2100,Nørre Fælled Skole,Grundskoler,Folkeskoler,"(55.7053610702465, 12.5581524982066)"
23,101047,8.1,7.9,101,55.674008557273595,12.596668921721498,1422,Christianshavns Skole,Grundskoler,Folkeskoler,"(55.674008557273595, 12.596668921721498)"
24,101050,6.5,6.2,101,55.6631089602849,12.6088427991237,2300,Skolen på Amagerbro,Grundskoler,Folkeskoler,"(55.6631089602849, 12.6088427991237)"
25,101052,7.1,7.1,101,55.6467457419843,12.603824731219401,2300,Højdevangens Skole,Grundskoler,Folkeskoler,"(55.6467457419843, 12.603824731219401)"
26,101053,8.0,7.7,101,55.6532315899916,12.628020114748399,2300,Skolen ved Sundet,Grundskoler,Folkeskoler,"(55.6532315899916, 12.628020114748399)"
27,101058,7.3,7.1,101,55.664994202965495,12.613406966616399,2300,Lergravsparkens Skole,Grundskoler,Folkeskoler,"(55.664994202965495, 12.613406966616399)"
28,101059,7.8,7.7,101,55.6629241401929,12.583199412125799,2300,Skolen på Islands Brygge,Grundskoler,Folkeskoler,"(55.6629241401929, 12.583199412125799)"
29,101060,7.3,6.6,101,55.655356332401894,12.596598560878999,2300,Peder Lykke Skolen,Grundskoler,Folkeskoler,"(55.655356332401894, 12.596598560878999)"
30,101062,6.8,6.6,101,55.6578964166001,12.5356498902901,2450,Bavnehøj Skole,Grundskoler,Folkeskoler,"(55.6578964166001, 12.5356498902901)"
31,101063,6.3,5.6,101,55.6510747055513,12.531610607486801,2450,Ellebjerg Skole,Grundskoler,Folkeskoler,"(55.6510747055513, 12.531610607486801)"
32,101064,6.4,7.0,101,55.6664515798549,12.5449517678894,1670,Tove Ditlevsens Skole,Grundskoler,Folkeskoler,"(55.6664515798549, 12.5449517678894)"
33,101069,7.8,7.5,101,55.667596755247494,12.550323216110101,1663,Oehlenschlægersgades Skole,Grundskoler,Folkeskoler,"(55.667596755247494, 12.550323216110101)"
34,101070,7.8,7.9,101,55.666652912372896,12.486321625850401,2500,Hanssted Skole,Grundskoler,Folkeskoler,"(55.666652912372896, 12.486321625850401)"
35,101071,5.9,6.3,101,55.649156789376605,12.501983122535801,2500,Kirsebærhavens Skole,Grundskoler,Folkeskoler,"(55.649156789376605, 12.501983122535801)"
